company,category,buyer_role_target,priority_bucket,linkedin_search_query,verify_before_sending,channel_priority,personalization_UA,first_DM_UA,follow_up_1_UA,personalization_RU,first_DM_RU,follow_up_1_RU,status
Logos IT Academy,IT/coding,Head of Sales,C,"""Logos IT Academy"" ""sales"" Ukraine",статус; ЛПР,Email > LinkedIn,У форматі онлайн+офлайн втрати розподілені по точках контакту — їх важко побачити без зрізу.,"[Ім'я], вітаю! Допомагаю онлайн-школам побачити, де частина заявок не доходить до оплати через самі дзвінки. У форматі онлайн+офлайн втрати розподілені по точках контакту — їх важко побачити без зрізу. За 15 хв покажу підхід і чесно скажу, чи вам це зараз потрібно. Цікаво коротко перевірити релевантність?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.",В формате онлайн+офлайн потери распределены по точкам контакта — их трудно увидеть без среза.,"[Имя], здравствуйте! Помогаю онлайн-школам увидеть, где часть заявок не доходит до оплаты из-за самих звонков. В формате онлайн+офлайн потери распределены по точкам контакта — их трудно увидеть без среза. За 15 мин покажу подход и честно скажу, нужно ли вам это сейчас. Интересно коротко проверить релевантность?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
Neoversity (GoIT),IT/coding,Head of Sales,B,"""Neoversity"" (sales OR admissions)",окрема воронка від GoIT; ЛПР,LinkedIn > Email,На запуску нового продукту воронка продажів зазвичай найвразливіша.,"[Ім'я], вітаю! Допомагаю онлайн-школам побачити, де частина заявок не доходить до оплати через самі дзвінки. На запуску нового продукту воронка продажів зазвичай найвразливіша. За 15 хв покажу підхід і чесно скажу, чи вам це зараз потрібно. Цікаво коротко перевірити релевантність?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.",На запуске нового продукта воронка продаж обычно наиболее уязвима.,"[Имя], здравствуйте! Помогаю онлайн-школам увидеть, где часть заявок не доходит до оплаты из-за самих звонков. На запуске нового продукта воронка продаж обычно наиболее уязвима. За 15 мин покажу подход и честно скажу, нужно ли вам это сейчас. Интересно коротко проверить релевантность?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
TestPro (QA school),IT/coding,Owner / Head of Sales,C,"""TestPro"" (QA OR sales) Ukraine",існування/модель; домен,Telegram > Email,"Вузька QA-аудиторія — кожна заявка дорога, тож втрата в дзвінку коштує особливо багато.","[Ім'я], вітаю! Дивлюся для онлайн-шкіл, де в дзвінках із заявками втрачаються оплати. Вузька QA-аудиторія — кожна заявка дорога, тож втрата в дзвінку коштує особливо багато. Без продажу софту — 15 хв, щоб зрозуміти, чи релевантно для вас. Відкриті до короткої розмови?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.","Узкая QA-аудитория — каждая заявка дорогая, поэтому потеря в звонке стоит особенно много.","[Имя], здравствуйте! Смотрю для онлайн-школ, где в звонках с заявками теряются оплаты. Узкая QA-аудитория — каждая заявка дорогая, поэтому потеря в звонке стоит особенно много. Без продажи софта — 15 мин, чтобы понять, релевантно ли для вас. Открыты к короткому разговору?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
ITVDN / CyberBionic,IT/coding,Head of Sales,C,"(""ITVDN"" OR ""CyberBionic"") ""продажів""",чи є дзвінки vs self-serve,Email > LinkedIn,Великий каталог — без кваліфікації в дзвінку клієнт не знаходить «свій» курс.,"[Ім'я], вітаю! Дивлюся для онлайн-шкіл, де в дзвінках із заявками втрачаються оплати. Великий каталог — без кваліфікації в дзвінку клієнт не знаходить «свій» курс. Без продажу софту — 15 хв, щоб зрозуміти, чи релевантно для вас. Відкриті до короткої розмови?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.",Большой каталог — без квалификации в звонке клиент не находит «свой» курс.,"[Имя], здравствуйте! Смотрю для онлайн-школ, где в звонках с заявками теряются оплаты. Большой каталог — без квалификации в звонке клиент не находит «свой» курс. Без продажи софта — 15 мин, чтобы понять, релевантно ли для вас. Открыты к короткому разговору?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
SoftServe IT Academy,IT/coding,Head of Sales / Program Lead,B,"""SoftServe IT Academy"" (sales OR admissions)",чи є комерційні дзвінки (vs free),LinkedIn > Email,"Великий потік кандидатів — відповідно, і простір для помилок на дзвінках відбору великий.","[Ім'я], вітаю! Допомагаю онлайн-школам побачити, де частина заявок не доходить до оплати через самі дзвінки. Великий потік кандидатів — відповідно, і простір для помилок на дзвінках відбору великий. За 15 хв покажу підхід і чесно скажу, чи вам це зараз потрібно. Цікаво коротко перевірити релевантність?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.","Большой поток кандидатов — соответственно, и пространство для ошибок на звонках отбора большое.","[Имя], здравствуйте! Помогаю онлайн-школам увидеть, где часть заявок не доходит до оплаты из-за самих звонков. Большой поток кандидатов — соответственно, и пространство для ошибок на звонках отбора большое. За 15 мин покажу подход и честно скажу, нужно ли вам это сейчас. Интересно коротко проверить релевантность?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
Laba,professional,Commercial Director / Head of Sales,A,"(""Laba"" OR ""Laba Group"") (""Head of Sales"" OR ""комерційний директор"")",ЛПР; чи пишуть дзвінки,LinkedIn > Email,"У вас десятки програм — менеджеру важливо точно кваліфікувати потребу, і саме тут найбільший ризик втрати.","[Ім'я], вітаю! Роблю для онлайн-шкіл розбір дзвінків приймальної — де між заявкою й оплатою втрачається виручка. У вас десятки програм — менеджеру важливо точно кваліфікувати потребу, і саме тут найбільший ризик втрати. Софт не продаю. Хочу за 15 хв перевірити, чи це релевантно для Laba. Знайдемо час цього тижня?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.","У вас десятки программ — менеджеру важно точно квалифицировать потребность, и именно здесь наибольший риск потери.","[Имя], здравствуйте! Делаю для онлайн-школ разбор звонков приёмной — где между заявкой и оплатой теряется выручка. У вас десятки программ — менеджеру важно точно квалифицировать потребность, и именно здесь наибольший риск потери. Софт не продаю. Хочу за 15 мин проверить, релевантно ли это для Laba. Найдём время на этой неделе?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
Skvot,professional,Head of Sales / Producer,B,"(""Skvot"" OR ""SKVOT"") (""Head of Sales"" OR продюсер)",окрема/спільна воронка з Laba Group,LinkedIn > Instagram,У креативі рішення емоційне — і один слабкий дзвінок легко втрачає угоду.,"[Ім'я], вітаю! Допомагаю онлайн-школам побачити, де частина заявок не доходить до оплати через самі дзвінки. У креативі рішення емоційне — і один слабкий дзвінок легко втрачає угоду. За 15 хв покажу підхід і чесно скажу, чи вам це зараз потрібно. Цікаво коротко перевірити релевантність?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.",В креативе решение эмоциональное — и один слабый звонок легко теряет сделку.,"[Имя], здравствуйте! Помогаю онлайн-школам увидеть, где часть заявок не доходит до оплаты из-за самих звонков. В креативе решение эмоциональное — и один слабый звонок легко теряет сделку. За 15 мин покажу подход и честно скажу, нужно ли вам это сейчас. Интересно коротко проверить релевантность?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
IAMPM,professional,CEO / Head of Sales,A,"""IAMPM"" (""Head of Sales"" OR founder)",ЛПР у LinkedIn; домен,LinkedIn > Email,"У дорогому продукті діалог довгий, і точок, де менеджер відпускає клієнта, багато.","[Ім'я], вітаю! Допомагаю онлайн-школам побачити, де частина заявок не доходить до оплати через самі дзвінки. У дорогому продукті діалог довгий, і точок, де менеджер відпускає клієнта, багато. За 15 хв покажу підхід і чесно скажу, чи вам це зараз потрібно. Цікаво коротко перевірити релевантність?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.","В дорогом продукте диалог длинный, и точек, где менеджер отпускает клиента, много.","[Имя], здравствуйте! Помогаю онлайн-школам увидеть, где часть заявок не доходит до оплаты из-за самих звонков. В дорогом продукте диалог длинный, и точек, где менеджер отпускает клиента, много. За 15 мин покажу подход и честно скажу, нужно ли вам это сейчас. Интересно коротко проверить релевантность?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
Genius.Space / GeniusMarketing,professional,Owner / Commercial Director,B,"(""Genius.Space"" OR ""GeniusMarketing"") (CEO OR комерційний)",поточний статус/бренд; ЛПР,Instagram > LinkedIn,Запуски хвилями — на піку відділ продажів перевантажений і втрачає найбільше.,"[Ім'я], вітаю! Допомагаю онлайн-школам побачити, де частина заявок не доходить до оплати через самі дзвінки. Запуски хвилями — на піку відділ продажів перевантажений і втрачає найбільше. За 15 хв покажу підхід і чесно скажу, чи вам це зараз потрібно. Цікаво коротко перевірити релевантність?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.",Запуски волнами — на пике отдел продаж перегружен и теряет больше всего.,"[Имя], здравствуйте! Помогаю онлайн-школам увидеть, где часть заявок не доходит до оплаты из-за самих звонков. Запуски волнами — на пике отдел продаж перегружен и теряет больше всего. За 15 мин покажу подход и честно скажу, нужно ли вам это сейчас. Интересно коротко проверить релевантность?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
Projector (Prjctr),professional,Head of Sales / Owner,B,"(""Projector"" OR ""Prjctr"") ""sales"" Ukraine",відділ продажів vs self-serve; домен,LinkedIn > Instagram,"Програми недешеві, рішення довге — і саме дзвінок часто визначає, купить людина чи піде.","[Ім'я], вітаю! Допомагаю онлайн-школам побачити, де частина заявок не доходить до оплати через самі дзвінки. Програми недешеві, рішення довге — і саме дзвінок часто визначає, купить людина чи піде. За 15 хв покажу підхід і чесно скажу, чи вам це зараз потрібно. Цікаво коротко перевірити релевантність?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.","Программы недешёвые, решение долгое — и именно звонок часто определяет, купит человек или уйдёт.","[Имя], здравствуйте! Помогаю онлайн-школам увидеть, где часть заявок не доходит до оплаты из-за самих звонков. Программы недешёвые, решение долгое — и именно звонок часто определяет, купит человек или уйдёт. За 15 мин покажу подход и честно скажу, нужно ли вам это сейчас. Интересно коротко проверить релевантность?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
Choice,professional,Owner / Head of Sales,C,"""Choice"" (career OR профорієнтація) founder Ukraine",існування/модель; домен,LinkedIn > Email,"Шлях рішення про навчання довгий — якість одного дзвінка визначає, купить людина чи піде думати.","[Ім'я], вітаю! Дивлюся для онлайн-шкіл, де в дзвінках із заявками втрачаються оплати. Шлях рішення про навчання довгий — якість одного дзвінка визначає, купить людина чи піде думати. Без продажу софту — 15 хв, щоб зрозуміти, чи релевантно для вас. Відкриті до короткої розмови?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.","Путь решения об обучении долгий — качество одного звонка определяет, купит человек или уйдёт думать.","[Имя], здравствуйте! Смотрю для онлайн-школ, где в звонках с заявками теряются оплаты. Путь решения об обучении долгий — качество одного звонка определяет, купит человек или уйдёт думать. Без продажи софта — 15 мин, чтобы понять, релевантно ли для вас. Открыты к короткому разговору?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
WeStudy,professional,Owner / Producer,B,"""WeStudy"" (founder OR продюсер) Ukraine",власна чи клієнтська воронка,LinkedIn > Telegram,"Ви продаєте через дзвінки самі — отже у вас є власна, вимірна точка втрати.","[Ім'я], вітаю! Дивлюся для онлайн-шкіл, де в дзвінках із заявками втрачаються оплати. Ви продаєте через дзвінки самі — отже у вас є власна, вимірна точка втрати. Без продажу софту — 15 хв, щоб зрозуміти, чи релевантно для вас. Відкриті до короткої розмови?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.","Вы продаёте через звонки сами — значит у вас есть своя, измеримая точка потери.","[Имя], здравствуйте! Смотрю для онлайн-школ, где в звонках с заявками теряются оплаты. Вы продаёте через звонки сами — значит у вас есть своя, измеримая точка потери. Без продажи софта — 15 мин, чтобы понять, релевантно ли для вас. Открыты к короткому разговору?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
Setters Education,professional,Head of Sales,B,"(""Setters Education"" OR SETTERS) ""sales""",відділ продажів vs self-serve,Instagram > LinkedIn,"Тренд-аудиторія купує на емоціях — у дзвінку видно, де ця емоція згасає.","[Ім'я], вітаю! Дивлюся для онлайн-шкіл, де в дзвінках із заявками втрачаються оплати. Тренд-аудиторія купує на емоціях — у дзвінку видно, де ця емоція згасає. Без продажу софту — 15 хв, щоб зрозуміти, чи релевантно для вас. Відкриті до короткої розмови?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.","Трендовая аудитория покупает на эмоциях — в звонке видно, где эта эмоция гаснет.","[Имя], здравствуйте! Смотрю для онлайн-школ, где в звонках с заявками теряются оплаты. Трендовая аудитория покупает на эмоциях — в звонке видно, где эта эмоция гаснет. Без продажи софта — 15 мин, чтобы понять, релевантно ли для вас. Открыты к короткому разговору?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
